4,5,6,10,Nan,Nan,Nan,Nan
1,12,19,46,47,Nan,Nan,Nan
16,32,Nan,Nan,Nan,Nan,Nan,Nan
18,24,35,Nan,Nan,Nan,Nan,Nan
12,22,27,30,Nan,Nan,Nan,Nan
18,29,Nan,Nan,Nan,Nan,Nan,Nan
0,2,8,Nan,Nan,Nan,Nan,Nan
14,40,44,Nan,Nan,Nan,Nan,Nan
3,18,35,Nan,Nan,Nan,Nan,Nan
12,28,31,36,48,Nan,Nan,Nan
14,44,Nan,Nan,Nan,Nan,Nan,Nan
6,27,28,Nan,Nan,Nan,Nan,Nan
17,29,47,Nan,Nan,Nan,Nan,Nan
4,16,32,Nan,Nan,Nan,Nan,Nan
0,2,4,7,11,37,42,Nan
13,40,Nan,Nan,Nan,Nan,Nan,Nan
14,Nan,Nan,Nan,Nan,Nan,Nan,Nan
13,20,32,Nan,Nan,Nan,Nan,Nan
12,31,36,48,Nan,Nan,Nan,Nan
6,42,Nan,Nan,Nan,Nan,Nan,Nan
18,20,22,24,Nan,Nan,Nan,Nan
22,41,47,Nan,Nan,Nan,Nan,Nan
24,28,35,42,Nan,Nan,Nan,Nan
5,19,22,25,Nan,Nan,Nan,Nan
9,21,29,30,42,45,Nan,Nan
18,35,Nan,Nan,Nan,Nan,Nan,Nan
14,44,Nan,Nan,Nan,Nan,Nan,Nan
16,32,45,Nan,Nan,Nan,Nan,Nan
27,28,Nan,Nan,Nan,Nan,Nan,Nan
6,14,22,30,38,40,46,Nan
23,24,40,41,43,Nan,Nan,Nan
1,19,Nan,Nan,Nan,Nan,Nan,Nan
5,22,37,Nan,Nan,Nan,Nan,Nan
0,2,5,46,Nan,Nan,Nan,Nan
4,9,Nan,Nan,Nan,Nan,Nan,Nan
27,28,33,Nan,Nan,Nan,Nan,Nan
5,20,22,41,44,Nan,Nan,Nan
14,34,39,44,Nan,Nan,Nan,Nan
1,12,16,22,39,Nan,Nan,Nan
2,9,16,17,35,45,Nan,Nan
24,30,48,Nan,Nan,Nan,Nan,Nan
4,9,11,Nan,Nan,Nan,Nan,Nan
5,22,Nan,Nan,Nan,Nan,Nan,Nan
4,9,Nan,Nan,Nan,Nan,Nan,Nan
27,44,Nan,Nan,Nan,Nan,Nan,Nan
20,21,45,Nan,Nan,Nan,Nan,Nan
14,19,24,29,33,34,36,38
1,19,36,41,42,Nan,Nan,Nan
16,22,35,Nan,Nan,Nan,Nan,Nan
6,12,21,30,40,44,Nan,Nan
1,3,4,9,24,36,43,44
4,9,42,47,Nan,Nan,Nan,Nan
7,11,37,45,Nan,Nan,Nan,Nan
16,32,45,Nan,Nan,Nan,Nan,Nan
7,10,11,37,45,Nan,Nan,Nan
4,9,Nan,Nan,Nan,Nan,Nan,Nan
18,20,45,Nan,Nan,Nan,Nan,Nan
18,35,44,Nan,Nan,Nan,Nan,Nan
45,47,Nan,Nan,Nan,Nan,Nan,Nan
28,Nan,Nan,Nan,Nan,Nan,Nan,Nan
17,29,45,47,Nan,Nan,Nan,Nan
23,24,40,41,43,Nan,Nan,Nan
12,31,36,48,Nan,Nan,Nan,Nan
12,30,35,Nan,Nan,Nan,Nan,Nan
12,14,19,23,44,Nan,Nan,Nan
1,Nan,Nan,Nan,Nan,Nan,Nan,Nan
18,22,Nan,Nan,Nan,Nan,Nan,Nan
33,39,42,Nan,Nan,Nan,Nan,Nan
33,42,Nan,Nan,Nan,Nan,Nan,Nan
3,18,35,Nan,Nan,Nan,Nan,Nan
0,7,27,Nan,Nan,Nan,Nan,Nan
15,27,Nan,Nan,Nan,Nan,Nan,Nan
23,24,40,41,43,Nan,Nan,Nan
0,2,25,46,Nan,Nan,Nan,Nan
3,18,35,Nan,Nan,Nan,Nan,Nan
6,12,20,31,36,Nan,Nan,Nan
3,4,16,19,32,34,Nan,Nan
22,26,Nan,Nan,Nan,Nan,Nan,Nan
2,4,17,34,Nan,Nan,Nan,Nan
23,24,40,41,43,Nan,Nan,Nan
1,19,Nan,Nan,Nan,Nan,Nan,Nan
9,12,26,32,Nan,Nan,Nan,Nan
29,34,38,Nan,Nan,Nan,Nan,Nan
1,18,Nan,Nan,Nan,Nan,Nan,Nan
12,16,32,45,Nan,Nan,Nan,Nan
27,28,Nan,Nan,Nan,Nan,Nan,Nan
1,17,19,26,48,Nan,Nan,Nan
4,9,14,Nan,Nan,Nan,Nan,Nan
1,19,20,27,Nan,Nan,Nan,Nan
15,22,25,38,49,Nan,Nan,Nan
14,16,32,Nan,Nan,Nan,Nan,Nan
12,31,36,48,Nan,Nan,Nan,Nan
16,32,45,Nan,Nan,Nan,Nan,Nan
27,28,Nan,Nan,Nan,Nan,Nan,Nan
16,32,45,49,Nan,Nan,Nan,Nan
6,Nan,Nan,Nan,Nan,Nan,Nan,Nan
0,2,45,46,Nan,Nan,Nan,Nan
13,26,48,Nan,Nan,Nan,Nan,Nan
1,19,33,Nan,Nan,Nan,Nan,Nan
23,24,40,41,43,Nan,Nan,Nan
0,4,14,33,42,45,47,Nan
2,13,23,Nan,Nan,Nan,Nan,Nan
7,8,10,20,22,26,Nan,Nan
16,32,45,Nan,Nan,Nan,Nan,Nan
12,31,36,48,Nan,Nan,Nan,Nan
8,16,26,29,32,45,Nan,Nan
1,6,21,Nan,Nan,Nan,Nan,Nan
45,Nan,Nan,Nan,Nan,Nan,Nan,Nan
23,43,47,Nan,Nan,Nan,Nan,Nan
6,11,15,18,Nan,Nan,Nan,Nan
7,11,37,Nan,Nan,Nan,Nan,Nan
33,42,47,Nan,Nan,Nan,Nan,Nan
30,33,42,Nan,Nan,Nan,Nan,Nan
26,33,42,Nan,Nan,Nan,Nan,Nan
8,14,30,Nan,Nan,Nan,Nan,Nan
20,26,45,Nan,Nan,Nan,Nan,Nan
19,27,28,38,Nan,Nan,Nan,Nan
15,33,42,Nan,Nan,Nan,Nan,Nan
16,22,Nan,Nan,Nan,Nan,Nan,Nan
11,14,44,Nan,Nan,Nan,Nan,Nan
7,11,17,23,24,40,41,43
3,4,13,40,Nan,Nan,Nan,Nan
13,22,24,29,Nan,Nan,Nan,Nan
3,18,35,Nan,Nan,Nan,Nan,Nan
1,10,44,Nan,Nan,Nan,Nan,Nan
4,9,Nan,Nan,Nan,Nan,Nan,Nan
3,4,16,18,35,36,39,Nan
3,25,Nan,Nan,Nan,Nan,Nan,Nan
